Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 49,66,"['’', 'becoming', 'something', '’', 'want', 'be.', '”', ',', 'wrote', ',', '“', 'Somebody', 'probably', 'loves', 'kid', ',', 'would', 'crushed', 'killed.', '”', '“', '’', 'care', 'things', ',', 'reduce', 'people', 'politics', ',', 'better', '?', '”', 'wrote', '.']",34,"['I', 'm', 'I', 'don', 't', 'to', 'After', 'all', 'he', 'this', 'and', 'be', 'if', 'he', 'was', 'If', 'I', 'don', 't', 'about', 'those', 'if', 'I', 'to', 'their', 'how', 'am', 'I', 'than', 'he', 'is', 'he']",32,0.48,
Sentence 50,47,"['text', 'message', 'came', 'attention', 'Fox', '’', 'board', 'directors', 'even', 'senior', 'executives', 'last', 'month', ',', 'Sunday', 'trial', 'set', 'begin', ',', 'according', 'two', 'people', 'knowledge', 'Fox', '’', 'internal', 'deliberations', '.']",28,"['The', 'to', 'the', 'of', 's', 'of', 'and', 'some', 'only', 'on', 'the', 'before', 'the', 'was', 'to', 'to', 'with', 'of', 's']",19,0.4,
Sentence 51,31,"['time', ',', 'Fox', '’', 'negotiators', 'entering', 'discussions', 'out-of-court', 'settlement', 'ahead', 'swearing', 'shaping', 'diverse', 'jury', '.']",15,"['At', 'the', 's', 'were', 'about', 'an', 'of', 'the', 'in', 'of', 'what', 'was', 'up', 'to', 'be', 'a']",16,0.52,
Sentence 52,30,"['next', 'day', ',', 'board', 'told', 'Fox', '’', 'leadership', 'plan', 'law', 'firm', 'Wachtell', ',', 'Lipton', ',', 'Rosen', 'Katz', 'investigate', 'Mr.', 'Carlson', '.']",21,"['The', 'the', 's', 'about', 'its', 'to', 'have', 'the', 'and']",9,0.3,
Sentence 53,43,"['disclosure', 'set', 'possibility', 'could', 'continuing', 'investigation', 'behind', 'Mr.', 'Carlson', '’', 'messages', 'time', 'trial', ',', 'serving', 'top', 'host', 'prime', 'time', '.']",20,"['That', 'up', 'the', 'that', 'there', 'be', 'a', 'into', 'what', 'was', 's', 'at', 'the', 'same', 'as', 'a', 'and', 'as', 'he', 'was', 'as', 'its', 'in']",23,0.53,
Sentence 54,55,"['Fox', 'commented', 'Mr.', 'Carlson', '’', 'ouster', 'last', 'week', 'beyond', 'initial', 'statement', 'announcing', '“', 'agreed', 'part', 'ways', '”', 'thanking', '“', 'service.', '”', 'respond', 'request', 'comment', 'Tuesday', 'contents', 'Mr.', 'Carlson', '’', 'redacted', 'message', '.']",32,"['has', 'not', 'about', 's', 'an', 'that', 'they', 'to', 'and', 'him', 'for', 'his', 'It', 'did', 'not', 'to', 'a', 'for', 'on', 'on', 'the', 'of', 's']",23,0.42,
Sentence 55,30,"['remains', 'unclear', 'text', 'escaped', 'notice', 'earlier', ',', 'given', 'Fox', 'legal', 'team', 'aware', 'offensive', 'texts', 'written', 'Mr.', 'Carlson', '.']",18,"['It', 'how', 'the', 'more', 'that', 'the', 'was', 'of', 'it', 'and', 'other', 'by']",12,0.4,
Sentence 56,21,"['Fox', '’', 'lawyers', 'produced', 'text', 'part', 'discovery', 'process', 'involved', 'redactions', '.']",11,"['s', 'had', 'the', 'as', 'of', 'the', 'and', 'were', 'in', 'the']",10,0.48,
Sentence 57,26,"['Mr.', 'Carlson', 'even', 'asked', 'deposition', ',', 'according', 'several', 'people', 'read', 'unredacted', 'transcripts', 'deposition', '.']",14,"['had', 'been', 'about', 'it', 'during', 'a', 'to', 'who', 'have', 'the', 'of', 'his']",12,0.46,
Sentence 58,15,"['guaranteed', 'text', 'would', 'revealed', 'open', 'court', '.']",7,"['It', 'was', 'not', 'that', 'the', 'have', 'been', 'in']",8,0.53,
Sentence 59,29,"['Dominion', '’', 'lawyers', 'still', 'decided', 'whether', 'would', 'introduce', 'text', 'front', 'jury', ',', 'according', 'people', 'knowledge', 'plans', '.']",17,"['s', 'had', 'not', 'they', 'the', 'in', 'of', 'the', 'to', 'with', 'of', 'their']",12,0.41,
Sentence 60,37,"['two', 'sides', 'disagreed', 'whether', 'Dominion', 'lawyers', 'could', 'presented', 'redacted', 'message', 'trial', 'decided', ',', 'decision', 'would', 'ultimately', 'fallen', 'judge', '.']",19,"['The', 'on', 'the', 'have', 'such', 'a', 'at', 'if', 'they', 'had', 'to', 'do', 'so', 'a', 'that', 'have', 'to', 'the']",18,0.49,
Sentence 61,23,"['difference', 'became', 'moot', 'Fox', 'struck', '11th-hour', 'deal', 'April', '18', 'pay', 'Dominion', '$', '787.5', 'million', 'avoid', 'trial', '.']",17,"['The', 'after', 'an', 'on', 'to', 'and']",6,0.26,
Sentence 62,36,"['Fox', '’', 'executives', 'board', 'handled', 'case', 'months', 'trial', 'scheduled', 'begin', 'expected', 'issue', 'shareholder', 'lawsuits', 'filed', 'company', 'Delaware', '.']",18,"['How', 's', 'and', 'the', 'in', 'the', 'before', 'the', 'was', 'to', 'is', 'to', 'be', 'at', 'in', 'against', 'the', 'in']",18,0.5,
