Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 28,104,"['Wednesday', 'night', ',', 'crowd', 'gathered', 'pop-up', 'bookstore', 'organized', 'interiors', 'magazine', 'Apartamento', 'party', 'celebrate', 'designer', 'Misha', 'Kahn', '’', 'monograph', ',', '“', 'Casually', 'Sauntering', 'Perimeter', 'Now.', '”', 'Ahead', 'Kahn', '’', 'first', 'solo', 'gallery', 'exhibition', 'Friedman', 'Benda', 'Los', 'Angeles', 'later', 'month', ',', 'book', 'looks', '10', 'years', 'work', 'photographs', 'finished', 'products', '—', 'among', 'bronze', 'table', 'aptly', 'titled', 'Tingle', 'Tangle', 'Mingle', 'Mangle', 'couch', 'interlocking', 'earthen-colored', 'squiggles', 'called', 'Mole', 'Eats', 'Worm', '—', 'alongside', 'sketches', 'images', 'works', 'progress', '.']",72,"['On', 'a', 'at', 'a', 'by', 'the', 'for', 'a', 'to', 'the', 's', 'the', 'of', 'of', 's', 'at', 'in', 'this', 'the', 'at', 'of', 'his', 'with', 'of', 'them', 'a', 'and', 'a', 'of', 'and', 'of', 'in']",32,0.31,
Sentence 29,48,"['text', ',', 'includes', 'conversations', 'Kahn', '(', 'partner', 'editor', 'large', 'Nick', 'Haramis', ')', 'creative', 'people', ',', 'including', 'fashion', 'designer', 'Dries', 'Van', 'Noten', 'curator', 'Su', 'Wu', ',', 'overlaid', 'handwritten', 'annotations', 'Kahn', '.']",30,"['The', 'which', 'between', 'who', 'is', 'the', 'of', 'T', 'at', 'and', 'other', 'the', 'and', 'the', 'is', 'with', 'from', 'himself']",18,0.38,
Sentence 30,40,"['Milan', 'event', ',', 'designer', 'made', '50', 'otherworldly', 'dust', 'jackets', ',', 'puffy', 'cast', 'foam', ',', 'others', 'embedded', 'extraterrestrial-looking', 'glass', 'globs', ';', 'pillowy', 'version', 'made', 'shiny', 'red', 'resin', 'heavier', 'looked', '.']",29,"['For', 'the', 'the', 'some', 'in', 'with', 'a', 'of', 'was', 'than', 'it']",11,0.28,
Sentence 31,31,"['even', '’', 'get', 'hands', 'dust', 'jacket', 'enjoy', 'playful', 'use', 'materials', ':', 'book', 'covered', 'pink', 'velvet', '.']",16,"['But', 'those', 'who', 'can', 't', 'their', 'on', 'a', 'can', 'his', 'of', 'The', 'itself', 'is', 'in']",15,0.48,
Sentence 32,71,"['New', 'York-based', 'lighting', 'designer', 'Lindsey', 'Adelman', 'took', 'room', 'Alcova', ',', 'transforming', 'tranquil', ',', 'celestial', 'corner', 'painting', 'walls', 'black', 'installing', 'set', 'sparkling', 'pieces', 'exhibition', '“', 'Soft', 'Opening.', '”', 'Two', 'glowing', 'glass', 'blobs', '(', 'named', 'Rock', 'Lights', ')', 'clung', 'chunks', 'minerals', '—', 'white', ',', 'fragmented', 'selenite', 'dark', 'green', 'jasper', '—', 'tucked', 'former', 'fireplace', '.']",52,"['The', 'over', 'a', 'at', 'it', 'into', 'a', 'by', 'the', 'and', 'a', 'of', 'for', 'her', 'to', 'of', 'and', 'into', 'a']",19,0.27,
Sentence 33,34,"['side', 'space', 'hung', 'group', 'Adelman', '’', 'Illuminated', 'Mobiles', ',', 'bronze', 'arms', 'adorned', 'bits', 'clear', 'quartz', ',', 'knitted', 'chains', 'mottled', 'turquoise', 'malachite', '.']",22,"['On', 'the', 'other', 'of', 'the', 'a', 'of', 's', 'their', 'with', 'of', 'or']",12,0.35,
Sentence 34,15,"['light', 'shone', 'drooping', 'glass', 'orbs', ',', 'upturned', 'plates', 'ceramic', 'balls', '.']",11,"['Their', 'from', 'more', 'and']",4,0.27,
Sentence 35,49,"['pieces', '—', 'part', 'first', 'collection', 'Adelman', '’', 'LaLAB', 'project', ',', 'experimental', 'offshoot', 'studio', '—', 'called', 'mind', 'one', 'artist', 'Alexander', 'Calder', '’', 'early', 'mobiles', ',', 'made', 'buttons', 'shards', 'glass', 'hung', 'thick', 'brass', 'wire', '.']",33,"['The', 'of', 'the', 'from', 's', 'an', 'of', 'her', 'to', 'of', 'the', 's', 'from', 'and', 'of', 'from']",16,0.33,
Sentence 36,60,"['Among', 'Italian', 'architect', 'Tobia', 'Scarpa', '’', 'many', 'contributions', 'design', 'variety', 'surreally', 'shaped', 'lamps', ',', 'including', 'resin', 'pendant', 'light', 'resembles', 'cloud', '(', 'Nuvola', ',', 'Flos', ')', 'sconce', 'square', 'fabric', 'shade', 'could', 'mistaken', 'kite', '(', 'Ariette', ',', 'also', 'Flos', ')', '.']",39,"['the', 's', 'to', 'are', 'a', 'of', 'a', 'that', 'a', 'the', 'for', 'and', 'a', 'with', 'a', 'that', 'be', 'for', 'a', 'the', 'for']",21,0.35,
Sentence 37,44,"['Salone', ',', 'unveiled', 'newest', 'lighting', 'collection', ',', 'Eitie', ',', 'simple', 'yet', 'striking', 'set', 'pieces', 'Cassina', 'composed', 'LED', 'bars', 'connected', '—', 'circular', 'metal', 'joints', 'black', 'silver', 'red', 'gold', '—', 'different', 'formations', '.']",31,"['At', 'he', 'his', 'a', 'of', 'for', 'of', 'with', 'in', 'and', 'or', 'and', 'in']",13,0.3,
Sentence 38,44,"['One', 'pendant', 'light', 'takes', 'form', 'triangle', ',', 'another', 'comprises', 'single', 'line', ',', 'table', 'floor', 'lamps', 'consist', 'two', 'bars', ',', 'angles', 'adjusted', '30', 'degrees', 'create', 'different', 'visual', 'effects', '.']",28,"['the', 'of', 'a', 'a', 'and', 'the', 'and', 'each', 'of', 'the', 'of', 'which', 'can', 'be', 'by', 'to']",16,0.36,
Sentence 39,17,"['palindromic', 'name', 'series', 'nod', 'Scarpa', '’', 'age', ',', '88', '.']",10,"['The', 'of', 'the', 'is', 'a', 'to', 's']",7,0.41,
Sentence 40,20,"['venue', 'Galerie', 'Philia', '’', 'show', '“', 'Desacralized', '”', ',', 'appropriately', ',', 'deconsecrated', '11th-century', 'church', '.']",15,"['The', 'for', 's', 'was', 'a']",5,0.25,
Sentence 41,20,"['(', 'According', 'gallery', ',', 'previously', 'used', 'playground', 'basketball', 'court', '.', ')']",11,"['to', 'the', 'it', 'has', 'been', 'as', 'a', 'and', 'a']",9,0.45,
Sentence 42,29,"['25', 'participating', 'designers', 'asked', 'reflect', 'idea', 'desacralization', ',', 'specifically', 'religious', 'object', 'might', 'become', 'functional', ',', 'everyday', 'one', '.']",18,"['The', 'were', 'to', 'on', 'the', 'of', 'or', 'more', 'how', 'a', 'a']",11,0.38,
Sentence 43,19,"['sole', 'requirement', ',', 'decided', 'group', ',', 'pieces', 'white', '.']",9,"['The', 'on', 'by', 'the', 'was', 'that', 'all', 'the', 'should', 'be']",10,0.53,
Sentence 44,54,"['ranged', 'set', 'furled', 'shell', 'lights', 'Parisian', 'designer', 'Elsa', 'Foulon', '—', 'drew', 'shell', 'symbol', 'baptism', 'pilgrimage', 'Christianity', '—', 'looping', 'chandelier', 'conceived', 'Italian', 'design', 'duo', 'Morghen', 'Studio', ',', 'made', 'using', 'modular', 'Fabric', 'Flexible', 'Light', 'brass', '.']",34,"['They', 'from', 'a', 'of', 'by', 'the', 'who', 'on', 'the', 'as', 'a', 'of', 'and', 'in', 'to', 'a', 'by', 'the', 'their', 'with']",20,0.37,
Sentence 45,32,"['fashion', 'designer', 'Rick', 'Owens', 'also', 'contributed', 'new', 'piece', ',', 'Tomb', 'Chair', ',', 'elongated', 'seat', 'made', 'starkly', 'cut', 'white', 'marble', 'moose', 'antler', 'protruding', 'back', '.']",24,"['The', 'a', 'an', 'of', 'with', 'a', 'from', 'its']",8,0.25,
Sentence 46,53,"['curved', 'ceilings', 'former', 'garage', '(', 'part', 'gallery', 'Spazio', 'Maiocchi', ')', ',', 'Swedish', 'fragrance', 'brand', 'Byredo', 'hosted', '“', 'Bal', '’', 'Afrique', ',', '”', 'exhibition', 'American', 'designer', 'Dozie', 'Kanu', 'drew', 'inspiration', 'company', '’', 'perfume', 'name', '.']",34,"['Under', 'the', 'of', 'a', 'now', 'of', 'the', 'the', 'd', 'an', 'by', 'the', 'that', 'from', 'the', 's', 'of', 'the', 'same']",19,0.36,
Sentence 47,33,"['Visitors', 'walked', 'space', 'hallway', 'contained', 'vitrines', 'filled', 'photographs', 'curated', 'Adjoa', 'Armah', ',', 'collects', 'photographic', 'negatives', 'Ghana', 'part', 'project', 'Saman', 'Archive', '.']",21,"['into', 'the', 'through', 'a', 'that', 'with', 'by', 'who', 'from', 'as', 'of', 'her']",12,0.36,
Sentence 48,20,"['images', 'dated', 'back', '1960s', ',', 'though', 'majority', '’', '80s', '2000s', '.']",11,"['Some', 'to', 'the', 'the', 'were', 'from', 'the', 'to', 'the']",9,0.45,
Sentence 49,19,"['Many', 'showed', 'scenes', 'celebration', ',', 'nights', 'clubs', 'spiritual', 'moments', 'baptism', '.']",11,"['of', 'from', 'at', 'to', 'more', 'such', 'as', 'a']",8,0.42,
Sentence 50,22,"['end', 'corridor', 'pavilion', 'whose', 'walls', 'made', 'reddish-brown', 'wicker', 'bordered', 'strips', 'aluminum', '.']",12,"['At', 'the', 'of', 'the', 'was', 'a', 'were', 'of', 'by', 'of']",10,0.45,
Sentence 51,71,"['Inside', 'around', ',', 'Kanu', ',', 'born', 'Houston', 'Nigerian', 'parents', ',', 'displayed', 'pieces', 'furniture', 'well', 'objects', ',', 'including', 'four', 'found', 'washing', 'machine', 'drums', 'topped', 'colored', 'glass', 'suggest', 'musical', 'instrument', ',', '“', 'Foremothers', '”', '(', '2019', ')', ',', 'six-foot-tall', 'pendulum', 'made', 'drilling', 'rods', 'hung', 'West', 'African', 'statuette', 'scrawled', 'sand', '.']",48,"['and', 'it', 'who', 'was', 'in', 'to', 'of', 'as', 'as', 'with', 'to', 'the', 'and', 'a', 'of', 'from', 'which', 'a', 'that', 'into', 'the', 'below', 'it']",23,0.32,
Sentence 52,31,"['Years', 'ago', ',', 'Milan-based', 'furniture', 'maker', 'Osanna', 'Visconti', 'came', 'across', 'bamboo', 'forest', 'Venetian', 'garden', 'designed', '20th-century', 'English', 'landscape', 'architect', 'Russell', 'Page', '.']",22,"['the', 'a', 'in', 'a', 'that', 'had', 'been', 'by', 'the']",9,0.29,
Sentence 53,25,"['held', 'image', 'mind', 'created', 'latest', 'bronze', 'works', ',', 'view', 'Nilufar', 'Depot', 'gallery', '.']",13,"['She', 'that', 'in', 'her', 'as', 'she', 'her', 'which', 'were', 'on', 'at', 'the']",12,0.48,
Sentence 54,39,"['aqua', 'moiré', 'fabric', 'backdrop', ',', 'Visconti', 'presented', 'chandelier', 'made', 'stacked', 'bronze', 'bamboo', 'stalks', ',', 'thin', 'table', 'leafy', 'crosspieces', ',', 'blue', 'velvet', 'cushioned', 'stools', 'bamboo', 'legs', 'rectangular', 'mirrors', 'surrounded', 'canes', '.']",30,"['Against', 'an', 'a', 'of', 'a', 'with', 'with', 'and', 'by']",9,0.23,
Sentence 55,31,"['Like', 'many', 'Visconti', '’', 'designs', ',', 'ones', ',', 'asymmetric', 'organic', 'forms', ',', 'proved', 'bronze', 'subtle', 'expressive', 'monumental', '.']",18,"['of', 's', 'these', 'with', 'their', 'that', 'can', 'be', 'as', 'and', 'as', 'it', 'is']",13,0.42,
Sentence 56,1,['Advertisement'],1,[],0,0.0,
