Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 34,21,"['Cleopatra', '’', 'heritage', 'subject', 'much', 'academic', 'debate', ',', 'often', 'ignored', 'Hollywood', '.']",12,"['s', 'has', 'been', 'the', 'of', 'which', 'has', 'been', 'by']",9,0.43,
Sentence 35,11,"['series', 're-assesses', 'fascinating', 'part', 'story', '.']",6,"['Now', 'our', 'this', 'of', 'her']",5,0.45,
Sentence 36,38,"['Royalteen', ':', 'Princess', 'Margrethe', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'wake', 'prom', 'scandal', ',', 'Princess', 'Margrethe', 'longs', 'normalcy', 'struggles', 'maintain', 'perfect', 'facade', 'dealing', 'family', 'drama', '.']",26,"['From', 'In', 'the', 'of', 'her', 'for', 'as', 'she', 'to', 'her', 'while', 'with']",12,0.32,
Sentence 37,39,"['St.', 'Vincent', 'Ultraman', ':', 'Season', '3', '(', 'Netflix', 'Anime', ')', 'Netflix', ':', 'public', 'sentiment', 'turns', 'Ultraman', ',', 'Shinjiro', 'learns', 'inherited', 'powers', 'may', 'come', 'heavy', 'price', ',', 'exciting', 'series', 'conclusion', '.']",30,"['From', 'As', 'against', 'that', 'his', 'with', 'a', 'in', 'this']",9,0.23,
Sentence 38,38,"['Black', 'Knight', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'dystopian', '2071', 'devastated', 'air', 'pollution', ',', 'survival', 'humanity', 'depends', 'Black', 'Knights', '—', '’', 'far', 'average', 'deliverymen', '.']",25,"['From', 'In', 'a', 'by', 'the', 'of', 'on', 'the', 'and', 'they', 're', 'from', 'your']",13,0.34,
Sentence 39,39,"['Call', 'Kate', 'Mother', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'deadly', 'female', 'assassin', 'comes', 'hiding', 'protect', 'daughter', 'gave', 'years', ',', 'run', 'dangerous', 'men', '.']",23,"['Me', 'The', 'From', 'A', 'out', 'of', 'to', 'the', 'that', 'she', 'up', 'before', 'while', 'on', 'the', 'from']",16,0.41,
Sentence 40,40,"['Mulligan', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'satirical', 'comedy', ',', 'Earth', 'destroyed', 'aliens', ',', 'survivors', 'rebuild', '’', 'left', 'America', 'form', 'perfect', 'union', '?']",23,"['From', 'In', 'this', 'when', 'most', 'of', 'is', 'by', 'can', 'a', 'few', 'what', 's', 'of', 'and', 'a', 'more']",17,0.42,
Sentence 41,37,"['Queer', 'Eye', ':', 'Season', '7', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'Join', 'party', 'Fab', 'Five', 'city', 'New', 'Orleans', 'new', 'season', 'inspirational', 'heroes', '—', 'beautiful', 'before-and-afters', '.']",26,"['From', 'the', 'with', 'the', 'in', 'the', 'of', 'for', 'a', 'of', 'and']",11,0.3,
Sentence 42,46,"['UglyDolls', 'Anna', 'Nicole', 'Smith', ':', '’', 'Know', '(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'heights', 'modeling', 'fame', 'tragic', 'death', ',', 'documentary', 'reveals', 'Anna', 'Nicole', 'Smith', 'eyes', 'people', 'closest', '.']",28,"['You', 'Don', 't', 'Me', 'From', 'From', 'the', 'of', 'her', 'to', 'her', 'this', 'through', 'the', 'of', 'the', 'to', 'her']",18,0.39,
Sentence 43,39,"['Faithfully', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'Using', 'alibis', ',', 'two', 'friends', 'sneak', 'indulge', 'secret', 'affairs', '—', 'elaborate', 'web', 'lies', 'unravels', 'one', 'goes', 'missing', '.']",25,"['Yours', 'From', 'each', 'other', 'as', 'off', 'to', 'in', 'but', 'their', 'of', 'when', 'of', 'them']",14,0.36,
Sentence 44,29,"['Fanfic', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'Two', 'high', 'school', 'students', 'form', 'intense', 'connection', 'navigate', 'challenges', 'discovering', 'expressing', 'truest', 'selves', '.']",21,"['From', 'an', 'as', 'they', 'the', 'of', 'and', 'their']",8,0.28,
Sentence 45,44,"['La', 'Reina', 'del', 'Sur', ':', 'Season', '3', 'McGREGOR', 'FOREVER', '(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'Conor', 'McGregor', 'embarks', 'important', 'year', 'career', ',', 'fighting', 'three', 'times', 'trying', 'climb', 'back', 'top', 'UFC', 'ladder', '.']",32,"['From', 'on', 'the', 'most', 'of', 'his', 'and', 'to', 'to', 'the', 'of', 'the']",12,0.27,
Sentence 46,25,"['series', 'all-access', 'look', 'polarizing', 'superstar', ',', 'along', 'deeper', 'history', 'brought', 'point', '.']",12,"['This', 'will', 'be', 'an', 'at', 'this', 'with', 'the', 'of', 'what', 'him', 'to', 'this']",13,0.52,
