Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 52,34,"['multi-camera', 'comedy', ',', 'impossible', 'without', 'writers', 'given', 'amount', 'tweaks', 'done', 'ahead', 'taping', ',', 'series', 'expected', 'go', 'dark', 'time', '.']",19,"['As', 'a', 'that', 'is', 'the', 'of', 'and', 'during', 'so', 'the', 'is', 'to', 'for', 'the', 'being']",15,0.44,
Sentence 53,24,"['VENERY', 'SAMANTHA', 'BIRD', 'Starz', 'drama', 'series', 'shut', 'production', 'two', 'episodes', 'eight', 'episode', 'order', 'left', 'shoot', '.']",16,"['THE', 'OF', 'The', 'down', 'with', 'of', 'its', 'to']",8,0.33,
Sentence 54,6,"['series', 'shoots', 'Montreal', '.']",4,"['The', 'in']",2,0.33,
Sentence 55,35,"['POWER', 'BOOK', 'III', ':', 'RAISING', 'KANAN', 'learned', 'writers', 'room', 'shut', 'Starz', '’', 'Power', 'Book', 'III', ':', 'Raising', 'Kanan', ',', 'production', 'Season', '3', '.']",23,"['We', 'have', 'that', 'the', 'has', 'down', 'on', 's', 'which', 'was', 'in', 'on']",12,0.34,
Sentence 56,14,"['COBRA', 'KAI', 'Cobra', 'Kai', 'shut', 'writers', 'room', 'Season', '6', '.']",10,"['has', 'down', 'its', 'for']",4,0.29,
Sentence 57,20,"['Series', 'co-creator', 'Jon', 'Hurwitz', 'tweeted', '“', 'writers', 'set', '”', 'along', 'group', 'photo', 'writers', '.']",14,"['No', 'on', 'with', 'a', 'of', 'the']",6,0.3,
Sentence 58,14,"['hate', 'strike', ',', 'must', ',', 'strike', 'hard', '.']",8,"['We', 'to', 'but', 'if', 'we', 'we']",6,0.43,
Sentence 59,9,"['Pencils', 'Cobra', 'Kai', 'writers', 'room', '.']",6,"['down', 'in', 'the']",3,0.33,
Sentence 60,5,"['writers', 'set', '.']",3,"['No', 'on']",2,0.4,
Sentence 61,12,"[""n't"", 'fun', 'times', ',', ""'s"", 'unfortunately', 'necessary', '.']",8,"['These', 'are', 'but', 'it']",4,0.33,
Sentence 62,17,"['moment', 'fair', 'deal', 'place', ',', ""'ll"", 'get', 'back', 'kicking', 'ass', '.']",11,"['The', 'a', 'is', 'in', 'we', 'to']",6,0.35,
Sentence 63,35,"['meantime', ',', 'sending', 'strength', 'and…', 'https', ':', '//t.co/99UulF7HeW', 'YELLOWJACKETS', 'Yellowjackets', 'co-creator', 'Ashley', 'Lyle', 'revealed', 'work', 'halted', 'Showtime', 'drama', '“', 'one', 'day', '#', 'Yellowjackets', 'S3', 'writers', 'room', '.']",27,"['In', 'the', 'has', 'on', 'the', 'after', 'in', 'the']",8,0.23,
Sentence 64,51,"['amazing', ',', 'creatively', 'invigorating', ',', 'much', 'fun', ',', '’', 'excited', 'get', 'back', 'soon', '#', 'WGA', 'gets', 'fair', 'deal.', '”', 'Well', ',', 'exactly', 'one', 'day', '#', 'YellowJackets', 'S3', 'writers', '’', 'room', '.']",31,"['It', 'was', 'and', 'and', 'so', 'and', 'I', 'm', 'very', 'to', 'to', 'it', 'as', 'as', 'the', 'a', 'we', 'had', 'in', 'the']",20,0.39,
Sentence 65,35,"['amazing', ',', 'creatively', 'invigorating', ',', 'much', 'fun', ',', '’', 'excited', 'get', 'back', 'soon', '#', 'WGA', 'gets', 'fair', 'deal', '.']",19,"['It', 'was', 'and', 'and', 'so', 'and', 'I', 'm', 'very', 'to', 'to', 'it', 'as', 'as', 'the', 'a']",16,0.46,
Sentence 66,44,"['#', '1u', '#', 'unionstrong', '✊🐝', 'ABBOTT', 'ELEMENTARY', '“', 'demanding', 'industry', 'one', 'sustain', 'career', ',', '”', 'said', 'Abbott', 'Elementary', 'writer', 'Brittani', 'Nichols', 'Los', 'Angeles-based', 'captain', 'WGA', 'West', 'interview', 'Democracy', '.']",29,"['We', 'are', 'that', 'this', 'is', 'that', 'can', 'a', 'and', 'the', 'for', 'in', 'an', 'with', 'Now']",15,0.34,
Sentence 67,19,"['calls', 'industry', '“', 'gig', 'economy', ',', '”', 'studios', 'prioritize', 'Wall', 'Street', ',', 'workers', '.']",14,"['She', 'the', 'a', 'where', 'not']",5,0.26,
Sentence 68,11,"['show', 'among', 'whose', 'writers', 'room', 'closed', '.']",7,"['The', 'is', 'those', 'has']",4,0.36,
Sentence 69,10,"['Hollywood', 'screenwriters', '@', 'WGAWest', 'going', 'strike', '.']",7,"['of', 'are', 'on']",3,0.3,
Sentence 70,38,"['fighting', 'living', 'wage', 'streaming', 'era', ',', 'says', 'Abbott', 'Elementary', 'writer', '@', 'BisHilarious', ',', 'calls', 'industry', '``', 'gig', 'economy', ',', ""''"", 'studios', 'prioritize', 'Wall', 'Street', ',', 'workers', '.']",27,"['They', 'are', 'for', 'a', 'in', 'the', 'who', 'the', 'a', 'where', 'not']",11,0.29,
Sentence 71,8,"['pic.twitter.com/GDxWvfi5ZJ', 'Late-night', 'talk', 'shows', 'gone', 'dark', '.']",7,['have'],1,0.12,
Sentence 72,41,"['Late', 'Show', ',', 'Jimmy', 'Kimmel', 'Live', '!', ',', 'Tonight', 'Show', 'Late', 'Night', 'officially', 'reruns', ',', 'Saturday', 'Night', 'Live', 'also', 'shut', 'production', ',', 'air', 'repeats', 'time', '.']",26,"['The', 'The', 'and', 'will', 'be', 'in', 'now', 'and', 'has', 'down', 'and', 'will', 'for', 'the', 'being']",15,0.37,
Sentence 73,9,"['Daytime', 'staple', 'Talk', 'also', 'halted', '.']",6,"['The', 'has', 'been']",3,0.33,
Sentence 74,36,"['RELATED', ':', 'WGA', 'Strike', 'Explained', ':', 'Issues', ',', 'Stakes', ',', 'Movies', '&', 'TV', 'Shows', 'Affected', '—', 'Long', 'Might', 'Last', 'Subscribe', 'Deadline', 'Breaking', 'News', 'Alerts', 'keep', 'inbox', 'happy', '.']",28,"['The', 'The', 'And', 'How', 'It', 'to', 'and', 'your']",8,0.22,
Sentence 75,21,"['Signup', 'Breaking', 'News', 'Alerts', '&', 'Newsletters', 'subscribing', ',', 'agree', 'Terms', 'Use', 'Privacy', 'Policy', '.']",14,"['for', 'By', 'I', 'to', 'the', 'of', 'and']",7,0.33,
Sentence 76,18,"['site', 'protected', 'reCAPTCHA', 'Enterprise', 'Google', 'Privacy', 'Policy', 'Terms', 'Service', 'apply', '.']",11,"['This', 'is', 'by', 'and', 'the', 'and', 'of']",7,0.39,
Sentence 77,17,"['Get', 'latest', 'storiesin', 'feed', 'favorite', 'networks', 'want', 'hear', '!']",9,"['our', 'the', 'of', 'your', 'We', 'to', 'from', 'you']",8,0.47,
Sentence 78,9,"['Send', 'us', 'tip', 'using', 'annonymous', 'form', '.']",7,"['a', 'our']",2,0.22,
Sentence 79,21,"['Sign', 'breaking', 'news', 'alerts', 'subscribing', ',', 'agree', 'Terms', 'Use', 'Privacy', 'Policy', '.']",12,"['up', 'for', 'our', 'By', 'I', 'to', 'the', 'of', 'and']",9,0.43,
Sentence 80,18,"['site', 'protected', 'reCAPTCHA', 'Enterprise', 'Google', 'Privacy', 'Policy', 'Terms', 'Service', 'apply', '.']",11,"['This', 'is', 'by', 'and', 'the', 'and', 'of']",7,0.39,
Sentence 81,14,"['subscribing', ',', 'agree', 'Terms', 'Use', 'Privacy', 'Policy', '.']",8,"['By', 'I', 'to', 'the', 'of', 'and']",6,0.43,
Sentence 82,18,"['site', 'protected', 'reCAPTCHA', 'Enterprise', 'Google', 'Privacy', 'Policy', 'Terms', 'Service', 'apply', '.']",11,"['This', 'is', 'by', 'and', 'the', 'and', 'of']",7,0.39,
