Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 42,31,"['find', 'like', 'life', ""'re"", 'script', 'character', 'keep', 'one', 'genre', ',', 'one', 'feeling', ',', 'one', 'color', '.']",16,"['I', 'that', 'more', 'than', 'when', 'you', 'doing', 'a', 'or', 'a', 'where', 'you', 'have', 'to', 'it']",15,0.48,
Sentence 43,42,"['also', 'think', 'oftentimes', 'play', 'read', 'characters', 'either', 'sarcastic', ',', 'wry', ',', 'arms', 'folded', ',', 'eyebrow', 'raised', ',', 'answers', ',', 'super', 'vulnerable', ',', 'arms', 'open', ',', 'hopeful', ',', 'gullible', 'types', '.']",30,"['I', 'I', 'or', 'that', 'are', 'have', 'all', 'the', 'before', 'you', 'do', 'or']",12,0.29,
Sentence 44,15,"['Maybe', 'gullible', ',', 'think', 'Simone', 'things', '.']",7,"['not', 'but', 'I', 'that', 'is', 'both', 'of', 'those']",8,0.53,
Sentence 45,36,"['see', 'maybe', 'started', 'former', 'faith', 'really', 'exploded', 'side', ',', 'maybe', 'love', 'aspects', 'world', 'childlike', 'hope', '.']",16,"['We', 'that', 'she', 'as', 'the', 'and', 'then', 'her', 'has', 'her', 'into', 'this', 'other', 'where', 'she', 'does', 'of', 'the', 'and', 'have']",20,0.56,
Sentence 46,8,"['relate', 'mom', '.']",3,"['I', 'to', 'that', 'as', 'a']",5,0.62,
Sentence 47,16,"['feel', 'like', 'eye-rolling', ',', 'middle-finger-in-the-air', 'person', 'baby', '.']",8,"['I', 'I', 'was', 'an', 'until', 'I', 'had', 'a']",8,0.5,
Sentence 48,15,"['suddenly', ""'m"", 'crying', 'butterfly', ',', 'like', ',', '``', 'Ugh', '.', ""''""]",11,"['Then', 'I', 'at', 'a']",4,0.27,
Sentence 49,5,"['Never', 'done', '.']",3,"['that', 'before']",2,0.4,
Sentence 50,30,"['Related', 'One', 'descriptions', 'read', 'show', ""'s"", 'AI', 'versus', 'faith', ',', 'feel', 'like', ""'s"", 'AI', 'faith', '.']",16,"['of', 'the', 'I', 'of', 'the', 'was', 'that', 'it', 'about', 'but', 'I', 'it', 'about', 'and']",14,0.47,
Sentence 51,14,"[""'s"", 'ways', 'put', 'trust', 'something', '.']",6,"['It', 'about', 'the', 'in', 'which', 'we', 'our', 'into']",8,0.57,
Sentence 52,24,"['even', 'filming', 'six', 'months', 'ago', ',', ""n't"", 'know', 'prescient', 'of-the-time', 'show', 'would', '.']",13,"['And', 'when', 'we', 'were', 'it', 'we', 'did', 'how', 'and', 'our', 'be']",11,0.46,
Sentence 53,22,"['ChatGPT', ""n't"", 'much', 'part', 'headlines', ',', 'least', 'right', 'second', 'OpenAI', '.']",11,"['was', 'as', 'a', 'of', 'the', 'at', 'as', 'it', 'is', 'this', 'and']",11,0.5,
Sentence 54,41,"['think', ',', 'even', 'though', 'show', 'super', 'bonkers', 'sometimes', ',', 'exact', 'moment', ""'re"", 'going', 'OpenAI', ',', '``', 'savior', 'downfall', '?', ""''""]",20,"['I', 'our', 'is', 'out', 'there', 'and', 'it', 'is', 'very', 'of', 'this', 'where', 'we', 'to', 'Are', 'you', 'our', 'or', 'are', 'you', 'our']",21,0.51,
Sentence 55,14,"['``', 'eye-rolling', ',', 'middle-finger-in-the-air', 'person', 'baby', '.']",7,"['I', 'was', 'an', 'until', 'I', 'had', 'a']",7,0.5,
Sentence 56,10,"['suddenly', ""'m"", 'crying', 'butterfly', '.', ""''""]",6,"['Then', 'I', 'at', 'a']",4,0.4,
Sentence 57,40,"['think', 'lot', 'questions', 'character', 'asking', 'thing', 'question', ""'m"", 'asking', ',', ',', '``', 'lose', 'answers', 'pocket', '?']",16,"['I', 'a', 'of', 'the', 'that', 'my', 'is', 'of', 'this', 'is', 'a', 'I', 'which', 'is', 'What', 'do', 'we', 'when', 'we', 'have', 'all', 'the', 'in', 'our']",24,0.6,
Sentence 58,8,"['stop', 'asking', 'big', 'questions', '?']",5,"['Do', 'we', 'the']",3,0.38,
Sentence 59,26,"['gambling', 'access', 'intangible', 'inexplicable', ',', 'things', 'make', 'us', 'human', 'shape', 'us', 'individuals', '?', ""''""]",14,"['Are', 'we', 'with', 'to', 'the', 'and', 'which', 'are', 'the', 'that', 'and', 'as']",12,0.46,
Sentence 60,30,"['robot', 'puppy', 'telling', 'us', 'times', ',', 'stop', 'becoming', 'interesting', ',', 'well-rounded', ',', 'good', 'people', '?']",15,"['If', 'we', 'have', 'a', 'who', 'we', 'are', 'and', 'what', 'to', 'do', 'at', 'all', 'do', 'we']",15,0.5,
Sentence 61,32,"['wonder', 'must', 'like', 'actor', ',', 'going', 'much', 'speculative', 'moment', 'reality', '.']",11,"['I', 'what', 'it', 'have', 'been', 'for', 'you', 'as', 'an', 'from', 'where', 'this', 'was', 'more', 'to', 'being', 'in', 'this', 'in', 'our', 'now']",21,0.66,
Sentence 62,12,"['One', 'reviews', 'called', '``', 'eerily', 'timely', ""'Mrs"", '.']",8,"['of', 'the', 'it', 'the']",4,0.33,
Sentence 63,4,"['Davis', '.', ""'"", ""''""]",4,[],0,0.0,
Sentence 64,9,"['scary', ',', 'freaks', '.']",4,"['It', 'is', 'it', 'me', 'out']",5,0.56,
Sentence 65,37,"['definitely', 'saw', 'OpenAI', 'ChatGPT', 'first', 'started', 'reading', ',', 'corner', 'world', 'news', ""n't"", 'understand', ""n't"", 'want', 'engage', '.']",17,"['I', 'or', 'when', 'I', 'about', 'it', 'as', 'just', 'a', 'of', 'the', 'and', 'that', 'I', 'do', 'and', 'I', 'do', 'to', 'with']",20,0.54,
Sentence 66,11,"[""'m"", 'rapidly', 'realizing', 'may', 'choice', '.']",6,"['I', 'we', 'not', 'have', 'a']",5,0.45,
Sentence 67,33,"['Also', ',', 'daughter', ',', 'generation', ',', 'far', 'interactive', 'different', 'language', ',', 'ca', ""n't"", 'shut', 'totally', '.']",16,"['my', 'her', 'will', 'be', 'more', 'and', 'have', 'a', 'with', 'it', 'than', 'I', 'do', 'so', 'I', 'it', 'out']",17,0.52,
Sentence 68,13,"['nice', 'something', 'asks', 'big', 'questions', '.']",6,"['But', 'it', 'is', 'to', 'be', 'doing', 'that']",7,0.54,
Sentence 69,52,"[""n't"", 'want', 'give', 'away', 'spoilers', ',', 'part', 'joy', 'show', 'twists', 'turns', 'shocking', 'things', 'ca', ""n't"", 'believe', ""n't"", 'figure', 'episode', ',', 'going', 'back', 'seeing', 'Easter', 'eggs', 'may', 'missed', '.']",28,"['I', 'do', 'to', 'any', 'because', 'of', 'the', 'of', 'the', 'is', 'the', 'and', 'and', 'that', 'you', 'you', 'did', 'out', 'an', 'before', 'and', 'and', 'you', 'have']",24,0.46,
Sentence 70,23,"['many', 'aspects', 'show', 'joy', 'play', ',', 'even', 'OpenAI', 'absolutely', 'terrifying', '.']",11,"['There', 'are', 'so', 'to', 'this', 'that', 'it', 'was', 'a', 'to', 'if', 'is']",12,0.52,
Sentence 71,27,"[""'ve"", 'public', 'journey', 'actor', ',', 'starting', 'someone', 'may', 'typecast', 'way', 'look', '.']",12,"['You', 'been', 'very', 'about', 'your', 'as', 'an', 'as', 'who', 'have', 'been', 'because', 'of', 'the', 'you']",15,0.56,
Sentence 72,16,"['``', 'GLOW', ',', ""''"", 'enormous', 'breakthrough', 'role', '.']",8,"['Then', 'you', 'have', 'which', 'is', 'this', 'for', 'you']",8,0.5,
Sentence 73,12,"['Debbie', 'change', 'career', 'person', '?']",5,"['How', 'did', 'your', 'and', 'you', 'as', 'a']",7,0.58,
Sentence 74,5,"['many', 'ways', '.']",3,"['In', 'so']",2,0.4,
Sentence 75,29,"['Liz', 'Flahive', 'Carly', 'Mensch', ',', 'created', '``', 'GLOW', ""''"", 'writers', 'producers', '``', 'Nurse', 'Jackie', ',', ""''"", 'big', 'first', 'TV', 'job', '.']",21,"['and', 'who', 'were', 'and', 'on', 'which', 'was', 'my']",8,0.28,
Sentence 76,22,"['Really', ',', 'done', 'mostly', 'off-Broadway', 'theater', 'episodes', 'cop', 'hospital', 'shows', '.']",11,"['up', 'until', 'then', 'I', 'had', 'and', 'of', 'and', 'here', 'and', 'there']",11,0.5,
Sentence 77,20,"['Related', 'Died', '``', 'Criminal', 'Intent', ""''"", 'came', 'back', 'within', 'year', 'alive', 'person', '.']",13,"['on', 'and', 'then', 'the', 'same', 'as', 'an']",7,0.35,
Sentence 78,21,"['went', 'producers', 'like', ',', '``', 'People', 'going', 'taken', '.', ""''""]",10,"['I', 'to', 'the', 'and', 'was', 'are', 'to', 'be', 'out', 'of', 'it']",11,0.52,
